,Unnamed: 0,Unnamed: 0.1,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,日期
287,287,287,2330,台積電,"40,647,121","14,353","4,021,304,950",97.60,99.90,97.10,99.60,+,2.6,99.50,3,99.60,150,16.54,2013-01-02
1158,1158,287,2330,台積電,"44,335,846","12,616","4,472,175,100",100.50,102.00,100.00,101.00,+,1.4,100.50,715,101.00,893,16.78,2013-01-03
2029,2029,287,2330,台積電,"39,502,577","10,276","3,980,403,777",100.50,101.50,100.00,101.50,+,0.5,101.00,471,101.50,"2,833",16.86,2013-01-04
2900,2900,287,2330,台積電,"42,328,657","9,042","4,237,769,552",101.00,101.00,99.10,100.50,-,1.0,100.00,95,100.50,532,16.69,2013-01-07
3771,3771,287,2330,台積電,"31,218,717","9,463","3,100,841,808",99.60,100.00,98.90,99.70,-,0.8,99.50,7,99.70,157,16.56,2013-01-08
4642,4642,287,2330,台積電,"26,417,262","7,616","2,638,483,776",100.50,100.50,99.20,100.00,+,0.3,99.90,803,100.00,152,16.61,2013-01-09
5513,5513,287,2330,台積電,"41,234,333","8,304","4,133,510,035",99.90,101.00,99.50,101.00,+,1.0,100.50,"1,949",101.00,"4,390",16.78,2013-01-10
6384,6384,287,2330,台積電,"22,993,851","7,982","2,319,676,468",101.50,101.50,100.50,101.00, ,0.0,100.50,"2,857",101.00,"1,447",16.78,2013-01-11
7255,7255,287,2330,台積電,"23,575,867","6,414","2,375,656,925",101.00,102.00,100.00,102.00,+,1.0,101.50,64,102.00,"3,170",16.94,2013-01-14
8126,8126,287,2330,台積電,"36,015,126","10,021","3,620,754,003",102.00,102.00,99.80,100.50,-,1.5,100.00,"1,083",100.50,"1,489",16.69,2013-01-15
8997,8997,287,2330,台積電,"35,496,359","8,742","3,543,926,150",100.50,100.50,99.20,99.20,-,1.3,99.20,"1,040",99.30,11,16.48,2013-01-16
9868,9868,287,2330,台積電,"40,526,293","9,034","4,042,971,250",100.50,101.00,98.50,99.30,+,0.1,99.20,502,99.30,134,16.5,2013-01-17
10737,10737,286,2330,台積電,"49,874,215","11,823","5,045,047,215",101.50,101.50,100.50,101.50,+,2.2,101.00,"1,131",101.50,"2,100",16.86,2013-01-18
11606,11606,286,2330,台積電,"17,310,236","5,625","1,738,509,600",101.00,101.00,100.00,100.50,-,1.0,100.00,"2,883",100.50,"1,044",16.69,2013-01-21
12475,12475,286,2330,台積電,"21,946,618","5,388","2,205,121,218",101.00,101.00,99.90,101.00,+,0.5,100.50,271,101.00,"3,573",16.78,2013-01-22
13343,13343,286,2330,台積電,"30,821,432","7,292","3,111,421,288",101.50,101.50,100.00,101.00, ,0.0,100.50,392,101.00,"3,623",16.78,2013-01-23
14211,14211,286,2330,台積電,"40,653,209","8,257","4,059,542,810",100.00,100.50,99.20,99.90,-,1.1,99.80,258,99.90,631,16.59,2013-01-24
15079,15079,286,2330,台積電,"48,674,849","11,885","4,801,805,861",99.90,99.90,98.00,99.00,-,0.9,98.90,15,99.00,"1,309",16.45,2013-01-25
15948,15948,286,2330,台積電,"29,190,978","7,200","2,893,310,122",98.70,99.50,98.60,99.30,+,0.3,99.20,101,99.30,20,16.5,2013-01-28
16817,16817,286,2330,台積電,"36,060,537","12,071","3,624,866,512",100.00,101.50,99.70,101.00,+,1.7,101.00,568,101.50,"2,289",16.78,2013-01-29
17686,17686,286,2330,台積電,"28,862,623","6,963","2,923,728,423",102.00,102.00,100.50,101.50,+,0.5,101.50,794,102.00,"8,444",16.86,2013-01-30
18556,18556,286,2330,台積電,"42,489,565","6,481","4,266,277,265",100.50,101.50,100.00,101.50, ,0.0,101.00,25,101.50,"3,048",16.86,2013-01-31
19427,19427,287,2330,台積電,"23,211,035","7,596","2,343,091,003",101.50,101.50,100.50,101.50, ,0.0,101.00,538,101.50,55,16.86,2013-02-01
20298,20298,287,2330,台積電,"35,257,079","10,873","3,618,099,182",102.00,103.00,102.00,103.00,+,1.5,102.50,"1,391",103.00,256,17.11,2013-02-04
21169,21169,287,2330,台積電,"32,330,330","9,340","3,369,267,370",103.50,105.00,103.00,105.00,+,2.0,104.50,531,105.00,"4,408",17.44,2013-02-06
22040,22040,287,2330,台積電,"64,345,580","13,470","6,895,059,371",107.00,108.50,106.50,107.00,+,2.0,107.00,834,107.50,315,17.77,2013-02-18
22911,22911,287,2330,台積電,"22,103,657","6,114","2,372,380,213",108.50,108.50,106.50,107.00, ,0.0,107.00,102,107.50,"2,417",17.77,2013-02-19
23782,23782,287,2330,台積電,"41,921,556","10,171","4,558,604,798",108.50,109.50,108.00,109.00,+,2.0,108.50,768,109.00,494,18.11,2013-02-20
24652,24652,287,2330,台積電,"30,551,806","7,485","3,287,642,271",108.50,108.50,107.00,107.00,-,2.0,107.00,"1,359",107.50,934,17.77,2013-02-21
25522,25522,287,2330,台積電,"39,577,666","10,313","4,188,440,636",106.00,106.50,105.00,105.50,-,1.5,105.00,"3,743",105.50,69,17.52,2013-02-22
26392,26392,287,2330,台積電,"10,174,533","3,022","1,083,855,709",106.50,107.50,106.00,107.00,+,1.5,106.50,"3,246",107.00,155,17.77,2013-02-23
27262,27262,287,2330,台積電,"37,216,683","8,564","3,938,987,715",106.50,107.00,105.00,105.00,-,2.0,105.00,"3,362",105.50,67,17.44,2013-02-25
28132,28132,287,2330,台積電,"38,498,610","9,572","4,006,611,594",103.50,105.00,102.50,103.50,-,1.5,103.50,"1,869",104.00,773,17.19,2013-02-26
29001,29001,286,2330,台積電,"81,358,059","13,654","8,385,327,394",102.00,104.50,101.00,104.50,+,1.0,104.0,106,104.50,"5,107",16.3,2013-02-27
29869,29869,286,2330,台積電,"35,081,170","9,263","3,651,664,826",103.00,105.00,102.50,105.00,+,0.5,104.50,43,105.00,"10,380",16.38,2013-02-29
30738,30738,286,2330,台積電,"35,081,170","9,263","3,651,664,826",103.00,105.00,102.50,105.00,+,0.5,104.50,43,105.00,"10,380",16.38,2013-03-01
31607,31607,286,2330,台積電,"55,265,946","11,896","5,652,060,892",104.50,104.50,101.50,102.00,-,3.0,101.50,"2,926",102.00,"1,782",15.91,2013-03-04
