,Unnamed: 0,Unnamed: 0.1,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,日期
32476,32476,286,2330,台積電,"56,213,527","9,603","5,798,480,893",103.50,104.00,102.50,104.00,+,2.0,103.50,675,104.00,"3,472",16.22,2013-03-05
33345,33345,286,2330,台積電,"38,026,322","6,844","3,944,092,785",104.00,104.50,103.00,104.00, ,0.0,103.50,213,104.00,751,16.22,2013-03-06
34214,34214,286,2330,台積電,"20,783,572","6,812","2,150,594,416",103.50,104.00,103.00,103.00,-,1.0,103.00,"1,425",103.50,43,16.07,2013-03-07
35083,35083,286,2330,台積電,"46,036,003","8,598","4,753,123,583",103.00,104.50,102.00,103.50,+,0.5,103.50,842,104.00,189,16.15,2013-03-08
35952,35952,286,2330,台積電,"36,093,271","9,071","3,706,837,142",102.00,104.00,102.00,102.00,-,1.5,102.00,"5,913",102.50,536,15.91,2013-03-11
36822,36822,287,2330,台積電,"57,955,306","9,978","6,009,069,324",102.50,105.00,102.00,104.50,+,2.0,104.00,"1,458",104.50,792,16.3,2013-03-13
37694,37694,287,2330,台積電,"33,067,465","7,022","3,435,727,588",104.00,104.50,103.00,104.00,-,0.5,104.00,242,104.50,"2,564",16.22,2013-03-14
38566,38566,287,2330,台積電,"35,632,988","6,030","3,696,617,211",105.00,105.00,103.00,103.00,-,1.0,103.00,"2,187",103.50,4,16.07,2013-03-15
39438,39438,287,2330,台積電,"44,188,807","11,128","4,472,705,507",102.00,102.00,100.50,100.50,-,2.5,100.50,"3,187",101.00,351,15.68,2013-03-18
40310,40310,287,2330,台積電,"50,765,167","11,099","5,104,261,200",101.00,101.50,99.60,100.00,-,0.5,100.00,"1,507",100.50,"2,354",15.60,2013-03-19
41182,41182,287,2330,台積電,"64,024,225","13,861","6,344,606,455",99.50,99.50,98.80,98.80,-,1.2,98.80,144,98.90,3,15.41,2013-03-20
42055,42055,288,2330,台積電,"58,467,748","13,448","5,799,884,434",98.80,100.50,98.70,98.70,-,0.1,98.70,51,98.80,38,15.40,2013-03-21
42928,42928,288,2330,台積電,"44,937,030","12,072","4,420,118,840",98.60,99.10,98.00,98.00,-,0.7,98.00,"5,589",98.10,1,15.29,2013-03-22
43801,43801,288,2330,台積電,"25,469,505","7,606","2,540,453,602",99.90,100.50,99.20,99.50,+,1.5,99.50,54,99.60,15,15.52,2013-03-25
44674,44674,288,2330,台積電,"27,220,058","8,019","2,698,733,342",99.20,99.40,98.80,99.00,-,0.5,99.00,"1,938",99.10,11,15.44,2013-03-26
45547,45547,288,2330,台積電,"29,969,023","7,304","2,992,059,750",99.00,100.50,98.80,100.50,+,1.5,100.00,33,100.50,"2,615",15.68,2013-03-27
46420,46420,288,2330,台積電,"29,558,310","7,232","2,945,126,900",100.00,100.50,99.30,100.00,-,0.5,99.90,13,100.00,652,15.60,2013-03-28
47293,47293,288,2330,台積電,"19,003,253","5,024","1,907,250,000",100.00,101.00,99.80,100.50,+,0.5,100.50,"1,114",101.00,"2,290",15.68,2013-03-29
48166,48166,288,2330,台積電,"16,374,716","4,450","1,657,592,413",101.00,102.00,100.50,101.00,+,0.5,100.50,765,101.00,979,15.76,2013-04-01
49039,49039,288,2330,台積電,"22,334,113","6,500","2,242,499,100",100.50,101.00,99.80,100.50,-,0.5,100.50,78,101.00,"3,852",15.68,2013-04-02
49912,49912,288,2330,台積電,"27,097,381","6,886","2,731,161,500",101.50,101.50,100.00,100.50, ,0.0,100.00,199,100.50,640,15.68,2013-04-03
50785,50785,288,2330,台積電,"58,367,917","11,496","5,768,632,279",99.00,99.50,98.50,98.50,-,2.0,98.50,30,98.60,601,15.37,2013-04-08
51658,51658,288,2330,台積電,"41,316,418","10,389","4,045,349,536",98.00,98.50,97.50,97.50,-,1.0,97.50,"1,916",97.60,67,15.21,2013-04-09
52531,52531,288,2330,台積電,"36,746,778","7,197","3,604,766,222",98.80,98.80,97.70,98.30,+,0.8,98.20,55,98.30,931,15.34,2013-04-10
53404,53404,288,2330,台積電,"57,867,486","12,430","5,799,700,086",99.00,101.50,98.80,101.50,+,3.2,101.00,579,101.50,"3,727",15.83,2013-04-11
54277,54277,288,2330,台積電,"19,568,004","5,602","1,968,624,772",101.50,101.50,100.00,100.50,-,1.0,100.50,98,101.00,928,15.68,2013-04-12
55150,55150,288,2330,台積電,"23,440,616","6,275","2,343,267,705",100.50,101.00,99.10,99.40,-,1.1,99.40,36,99.50,671,15.51,2013-04-15
56023,56023,288,2330,台積電,"35,918,924","8,309","3,576,311,040",98.20,101.00,98.20,100.50,+,1.1,100.00,73,100.50,531,15.68,2013-04-16
56896,56896,288,2330,台積電,"35,897,101","7,663","3,598,786,346",101.50,101.50,99.70,100.00,-,0.5,100.00,104,100.50,546,15.60,2013-04-17
57769,57769,288,2330,台積電,"33,083,804","7,209","3,316,064,572",100.00,101.00,99.40,99.90,-,0.1,99.90,"1,464",100.00,11,15.59,2013-04-18
58642,58642,288,2330,台積電,"66,950,314","15,197","7,110,036,743",105.50,106.50,105.50,106.50,+,6.6,106.50,"40,192",--,0,16.61,2013-04-19
59515,59515,288,2330,台積電,"72,502,228","16,146","7,859,371,624",108.50,109.50,107.50,108.50,+,2.0,108.00,217,108.50,"1,964",16.93,2013-04-22
60388,60388,288,2330,台積電,"46,146,072","10,405","4,903,358,892",106.50,107.50,105.50,106.00,-,2.5,105.50,"3,500",106.00,"2,272",16.54,2013-04-23
61261,61261,288,2330,台積電,"35,495,750","10,908","3,753,132,000",106.50,107.00,104.50,106.00, ,0.0,105.50,"1,922",106.00,902,16.54,2013-04-24
62134,62134,288,2330,台積電,"26,287,666","7,044","2,792,181,370",106.00,107.00,105.50,107.00,+,1.0,106.50,188,107.00,"1,149",16.69,2013-04-25
63007,63007,288,2330,台積電,"36,776,724","11,735","3,975,714,992",107.00,109.00,107.00,108.50,+,1.5,108.00,646,108.50,"1,198",16.93,2013-04-26
63880,63880,288,2330,台積電,"21,092,377","6,502","2,279,129,984",108.50,108.50,107.50,108.00,-,0.5,108.00,412,108.50,"3,108",16.85,2013-04-29
64753,64753,288,2330,台積電,"34,612,725","10,732","3,772,841,445",108.50,109.50,108.50,109.50,+,1.5,109.00,504,109.50,"3,201",17.08,2013-04-30
65626,65626,288,2330,台積電,"38,796,887","10,471","4,272,592,070",110.00,111.00,109.00,110.50,+,1.0,110.00,"1,869",110.50,373,17.24,2013-05-02
66499,66499,288,2330,台積電,"36,621,737","9,832","4,072,080,617",111.50,112.50,110.00,110.00,-,0.5,110.00,"3,153",110.50,634,17.16,2013-05-03
67372,67372,288,2330,台積電,"19,393,798","6,706","2,156,914,078",111.50,111.50,110.50,111.50,+,1.5,111.00,"2,201",111.50,"1,360",17.39,2013-05-06
68245,68245,288,2330,台積電,"22,448,180","7,353","2,521,248,290",112.00,113.00,111.00,112.50,+,1.0,112.50,"1,676",113.00,"3,472",17.55,2013-05-07
69119,69119,288,2330,台積電,"42,509,709","11,870","4,842,348,356",112.50,115.00,112.50,114.50,+,2.0,114.00,"1,573",114.50,"1,087",17.86,2013-05-08
69993,69993,288,2330,台積電,"27,606,177","9,101","3,186,565,567",116.00,116.00,114.50,115.00,+,0.5,114.50,"2,014",115.00,229,17.94,2013-05-09
70867,70867,288,2330,台積電,"27,536,736","7,521","3,146,083,904",115.00,115.00,113.50,114.50,-,0.5,114.00,85,114.50,741,17.86,2013-05-10
71741,71741,288,2330,台積電,"18,263,266","3,993","2,094,696,397",115.00,115.50,114.00,114.50, ,0.0,114.50,"2,776",115.00,"5,253",17.86,2013-05-13
72615,72615,288,2330,台積電,"27,855,127","7,881","3,224,146,605",115.50,116.50,115.00,115.50,+,1.0,115.50,"1,458",116.00,"3,617",18.02,2013-05-14
73489,73489,288,2330,台積電,"29,107,560","6,849","3,338,273,993",115.00,116.00,113.50,115.00,-,0.5,114.50,"2,621",115.00,"4,862",17.94,2013-05-15
74363,74363,288,2330,台積電,"45,770,439","10,033","5,227,824,787",115.00,116.00,113.00,113.50,-,1.5,113.50,211,114.00,"2,167",17.09,2013-05-16
75237,75237,288,2330,台積電,"19,316,452","6,145","2,177,150,076",112.00,113.50,111.50,113.50, ,0.0,113.00,492,113.50,672,17.09,2013-05-17
76111,76111,288,2330,台積電,"16,882,054","4,897","1,911,454,937",112.50,114.00,112.50,114.00,+,0.5,114.00,72,114.50,"1,613",17.17,2013-05-20
76985,76985,288,2330,台積電,"17,238,193","5,038","1,941,365,116",113.00,113.50,112.00,112.50,-,1.5,112.50,625,113.00,"1,443",16.94,2013-05-21
77858,77858,288,2330,台積電,"34,068,421","8,462","3,821,447,086",112.50,113.50,111.00,112.00,-,0.5,111.50,219,112.00,"1,491",16.87,2013-05-22
78731,78731,288,2330,台積電,"46,874,809","12,254","5,132,481,372",110.50,111.50,108.00,108.00,-,4.0,108.00,"1,555",108.50,997,16.27,2013-05-23
79604,79604,288,2330,台積電,"26,736,102","7,786","2,929,037,118",109.50,110.50,108.50,109.50,+,1.5,109.00,"2,171",109.50,"1,049",16.49,2013-05-24
80477,80477,288,2330,台積電,"19,161,396","6,339","2,129,098,594",109.50,112.00,109.50,112.00,+,2.5,111.50,751,112.00,801,16.87,2013-05-27
81350,81350,288,2330,台積電,"22,762,131","5,944","2,520,915,219",112.00,112.50,109.50,109.50,-,2.5,109.50,"4,924",110.00,2,16.49,2013-05-28
82223,82223,288,2330,台積電,"16,781,832","4,809","1,865,802,389",110.50,112.00,110.50,111.00,+,1.5,111.00,"2,898",111.50,72,16.72,2013-05-29
83096,83096,288,2330,台積電,"36,121,568","6,534","3,987,922,980",111.00,111.50,109.50,110.00,-,1.0,110.00,"1,011",110.50,343,16.57,2013-05-30
83969,83969,288,2330,台積電,"37,205,933","7,620","4,086,301,119",111.50,111.50,109.00,109.50,-,0.5,109.50,129,110.00,594,16.49,2013-05-31
84842,84842,288,2330,台積電,"35,834,419","9,111","3,858,216,000",108.00,108.50,106.50,107.50,-,2.0,107.50,827,108.00,178,16.19,2013-06-03
85716,85716,288,2330,台積電,"27,476,915","6,964","2,987,301,735",109.00,110.00,107.50,109.00,+,1.5,108.50,635,109.00,4,16.42,2013-06-04
86590,86590,288,2330,台積電,"25,581,235","4,331","2,802,975,365",109.50,110.50,108.50,109.50,+,0.5,109.50,562,110.00,249,16.49,2013-06-05
87464,87464,288,2330,台積電,"34,251,239","8,225","3,696,663,148",108.50,109.50,107.00,107.50,-,2.0,107.00,"2,927",108.00,"1,777",16.19,2013-06-06
88338,88338,288,2330,台積電,"33,085,685","9,288","3,599,966,794",108.00,109.50,108.00,108.50,+,1.0,108.50,"1,498",109.00,"1,357",16.34,2013-06-07
89212,89212,288,2330,台積電,"21,941,087","5,544","2,389,739,825",110.00,110.00,108.00,108.50, ,0.0,108.50,697,109.00,"1,443",16.34,2013-06-10
90086,90086,288,2330,台積電,"37,162,875","7,971","4,039,110,540",110.00,110.00,108.00,108.00,-,0.5,108.00,"3,270",108.50,825,16.27,2013-06-11
90960,90960,288,2330,台積電,"61,059,253","15,038","6,426,059,165",106.00,107.00,104.00,104.50,-,3.5,104.50,"2,326",105.00,"1,444",15.74,2013-06-13
91834,91834,288,2330,台積電,"41,207,256","8,686","4,344,673,136",105.00,106.00,104.50,106.00,+,1.5,105.50,299,106.00,"1,768",15.96,2013-06-14
92708,92708,288,2330,台積電,"23,014,898","7,015","2,427,943,688",105.50,106.00,105.00,106.00, ,0.0,105.50,458,106.00,"1,947",15.96,2013-06-17
93582,93582,288,2330,台積電,"31,676,097","6,753","3,345,414,299",105.00,106.50,104.50,106.50,+,0.5,106.00,"1,322",106.50,594,16.04,2013-06-18
94456,94456,288,2330,台積電,"22,084,611","5,112","2,334,582,437",106.00,106.50,105.00,105.50,-,1.0,105.50,"1,806",106.00,374,15.89,2013-06-19
95330,95330,288,2330,台積電,"29,998,376","8,257","3,129,908,604",105.00,105.50,103.50,104.00,-,1.5,103.50,995,104.00,887,15.66,2013-06-20
96204,96204,288,2330,台積電,"39,844,187","8,632","4,087,505,319",102.00,103.50,101.50,103.50,-,0.5,103.00,"2,596",103.50,951,15.59,2013-06-21
97078,97078,288,2330,台積電,"54,091,378","12,255","5,489,104,333",102.50,102.50,100.00,101.00,-,2.5,101.00,"2,091",101.50,"3,104",15.21,2013-06-24
97952,97952,288,2330,台積電,"33,897,665","8,672","3,438,163,165",101.00,103.00,101.00,101.00, ,0.0,101.00,"12,550",101.50,22,15.21,2013-06-25
98826,98826,288,2330,台積電,"55,865,189","12,682","5,734,087,278",103.00,104.00,101.50,101.50,+,0.5,101.50,"3,471",102.00,2,15.29,2013-06-26
99700,99700,288,2330,台積電,"46,982,476","12,441","4,874,831,619",103.00,105.00,103.00,104.50,+,3.0,104.00,184,104.50,380,15.74,2013-06-27
100574,100574,288,2330,台積電,"74,514,857","15,111","8,058,161,932",106.00,111.00,105.00,111.00,+,6.5,110.00,2,111.00,"3,318",16.72,2013-06-28
101448,101448,288,2330,台積電,"51,935,015","14,947","5,643,988,850",109.00,109.50,108.00,108.00,-,3.0,108.00,974,108.50,962,16.27,2013-06-31
102322,102322,288,2330,台積電,"51,935,015","14,947","5,643,988,850",109.00,109.50,108.00,108.00,-,3.0,108.00,974,108.50,962,16.27,2013-07-01
103196,103196,288,2330,台積電,"44,982,283","12,114","4,926,391,907",109.00,110.00,108.50,110.00,+,2.0,109.50,842,110.00,"6,412",16.57,2013-07-02
104070,104070,288,2330,台積電,"44,740,088","11,083","4,763,771,416",107.00,107.00,105.50,107.00,X,0.0,106.50,105,107.00,"4,268",16.11,2013-07-03
104944,104944,288,2330,台積電,"24,500,705","7,185","2,612,823,435",106.50,107.00,106.00,107.00, ,0.0,106.50,"2,464",107.00,395,16.11,2013-07-04
105818,105818,288,2330,台積電,"28,276,621","8,054","3,076,586,844",107.50,109.50,107.00,109.00,+,2.0,109.00,"1,869",109.50,"2,550",16.42,2013-07-05
106692,106692,288,2330,台積電,"32,770,668","8,927","3,465,016,640",107.00,108.00,104.50,105.00,-,4.0,105.00,396,105.50,"1,423",15.81,2013-07-08
107566,107566,288,2330,台積電,"35,511,970","7,985","3,723,458,270",104.50,106.50,103.50,106.00,+,1.0,105.50,"1,260",106.00,"1,727",15.96,2013-07-09
108440,108440,288,2330,台積電,"22,082,402","6,180","2,339,157,112",104.50,107.00,104.50,106.00, ,0.0,105.50,31,106.00,"1,006",15.96,2013-07-10
109314,109314,288,2330,台積電,"56,918,428","13,597","6,191,867,732",107.50,109.50,107.50,109.50,+,3.5,109.00,644,109.50,"3,169",16.49,2013-07-11
110188,110188,288,2330,台積電,"31,046,000","8,347","3,400,554,500",109.50,110.00,108.50,110.00,+,0.5,109.50,6,110.00,"5,586",16.57,2013-07-12
111061,111061,288,2330,台積電,"33,373,340","7,527","3,638,316,428",108.50,109.50,108.00,109.50,-,0.5,109.00,26,110.00,"4,415",16.49,2013-07-15
111934,111934,288,2330,台積電,"35,961,041","7,121","3,873,701,928",108.50,109.00,107.00,108.00,-,1.5,107.50,855,108.00,"1,744",16.27,2013-07-16
112807,112807,288,2330,台積電,"40,121,705","7,538","4,346,512,130",108.00,109.00,107.00,109.00,+,1.0,108.50,9,109.00,"5,554",16.42,2013-07-17
113680,113680,288,2330,台積電,"53,223,397","10,862","5,664,708,225",107.50,108.00,105.50,105.50,-,3.5,105.50,"1,215",106.00,411,15.89,2013-07-18
114553,114553,288,2330,台積電,"123,330,486","33,783","12,202,689,402",99.40,99.70,98.20,98.20,-,7.3,--,0,98.20,"19,763",14.79,2013-07-19
115426,115426,288,2330,台積電,"88,048,437","23,948","8,606,772,405",98.00,98.40,96.90,97.00,-,1.2,97.00,871,97.10,31,14.61,2013-07-22
116299,116299,288,2330,台積電,"85,595,131","20,652","8,570,434,000",98.50,101.50,98.50,100.00,+,3.0,99.90,85,100.00,484,15.06,2013-07-23
117172,117172,288,2330,台積電,"58,355,933","13,201","5,938,843,166",100.50,103.00,100.00,102.00,+,2.0,101.50,"1,669",102.00,33,15.36,2013-07-24
118045,118045,288,2330,台積電,"37,559,307","9,555","3,849,460,654",102.00,103.50,101.00,102.50,+,0.5,102.00,"2,719",102.50,700,15.44,2013-07-25
118918,118918,288,2330,台積電,"31,817,666","7,680","3,249,114,932",103.00,103.00,101.00,102.50, ,0.0,102.00,"2,217",102.50,132,15.44,2013-07-26
119791,119791,288,2330,台積電,"33,871,602","8,756","3,442,691,070",100.50,102.50,100.50,102.00,+,2.0,101.50,"1,733",102.00,"2,969",15.36,2013-07-30
120663,120663,288,2330,台積電,"36,997,795","7,128","3,780,910,590",101.50,103.00,101.00,102.50,+,0.5,102.00,270,102.50,"2,737",15.44,2013-07-31
121535,121535,288,2330,台積電,"32,509,794","7,756","3,285,635,040",102.00,102.00,100.00,100.50,-,2.0,100.50,173,101.00,948,15.14,2013-08-01
122408,122408,288,2330,台積電,"28,039,940","7,866","2,845,200,929",102.50,103.00,100.00,100.50, ,0.0,100.50,"3,160",101.00,"1,217",15.14,2013-08-02
123281,123281,288,2330,台積電,"23,372,612","6,400","2,349,053,712",100.00,101.50,99.90,100.50, ,0.0,100.00,"6,221",100.50,881,15.14,2013-08-05
124155,124155,288,2330,台積電,"42,787,275","13,012","4,242,132,263",100.50,100.50,98.60,98.80,-,1.7,98.80,141,98.90,142,14.88,2013-08-06
125028,125028,287,2330,台積電,"45,969,616","15,082","4,484,924,070",98.50,98.50,97.00,97.00,-,1.8,97.00,"2,427",97.10,115,14.61,2013-08-07
125901,125901,287,2330,台積電,"55,873,275","14,412","5,383,171,749",96.00,97.10,95.30,96.40,-,0.6,96.30,142,96.40,382,14.52,2013-08-08
126774,126774,287,2330,台積電,"47,192,333","13,162","4,585,250,023",100.00,100.00,96.40,96.40, ,0.0,96.40,988,96.50,95,14.52,2013-08-09
127647,127647,287,2330,台積電,"33,454,945","10,395","3,215,945,925",96.40,96.70,95.60,96.00,-,0.4,96.00,"2,457",96.10,98,14.46,2013-08-12
128520,128520,287,2330,台積電,"34,392,082","9,192","3,332,838,031",96.00,97.40,96.00,97.20,+,1.2,97.10,82,97.20,153,14.64,2013-08-13
129393,129393,287,2330,台積電,"44,023,158","9,471","4,245,439,666",96.00,97.30,95.80,96.80,-,0.4,96.80,13,96.90,2,14.58,2013-08-14
130266,130266,287,2330,台積電,"42,687,594","13,251","4,096,103,714",96.40,96.40,95.30,96.00,-,0.8,95.90,146,96.00,977,13.66,2013-08-15
131139,131139,287,2330,台積電,"37,698,875","11,061","3,632,993,006",95.40,97.50,95.20,96.50,+,0.5,96.40,67,96.50,210,13.73,2013-08-16
132013,132013,288,2330,台積電,"52,061,061","11,661","4,975,788,608",95.50,96.10,95.30,95.50,-,1.0,95.50,"1,868",95.60,264,13.58,2013-08-19
132887,132887,288,2330,台積電,"42,471,292","13,924","4,029,465,558",95.20,95.40,94.40,94.40,-,1.1,94.30,163,94.40,15,13.43,2013-08-20
133761,133761,288,2330,台積電,"60,311,712","15,238","5,666,452,853",93.00,94.90,92.90,94.50,+,0.1,94.40,"1,841",94.50,677,13.44,2013-08-22
134635,134635,288,2330,台積電,"44,454,018","12,547","4,301,442,889",95.70,97.30,95.50,97.00,+,2.5,97.00,"3,817",97.10,697,13.80,2013-08-23
135509,135509,288,2330,台積電,"18,698,683","6,745","1,810,213,458",97.60,97.60,96.10,96.80,-,0.2,96.80,532,96.90,14,13.77,2013-08-26
136383,136383,288,2330,台積電,"24,474,640","7,827","2,352,807,871",96.00,96.80,95.60,95.60,-,1.2,95.60,270,95.70,1,13.60,2013-08-27
137257,137257,288,2330,台積電,"35,977,333","10,927","3,476,155,213",95.60,97.30,95.10,96.80,+,1.2,96.80,257,96.90,"1,627",13.77,2013-08-28
138131,138131,288,2330,台積電,"52,396,628","11,284","5,026,886,622",96.90,98.90,96.90,98.70,+,1.9,98.50,2,98.70,625,14.04,2013-08-29
139005,139005,288,2330,台積電,"38,965,628","11,441","3,890,537,600",99.60,100.50,98.80,100.50,+,1.8,100.00,196,100.50,"1,081",14.30,2013-08-30
139878,139878,287,2330,台積電,"30,859,517","10,416","3,120,032,522",100.00,102.00,99.60,102.00,+,1.5,101.50,"1,271",102.00,"2,558",14.51,2013-09-02
140751,140751,287,2330,台積電,"33,838,396","10,651","3,462,383,175",103.00,103.00,101.50,102.00, ,0.0,102.00,84,102.50,"2,918",14.51,2013-09-03
141624,141624,287,2330,台積電,"25,229,190","8,405","2,540,221,572",100.50,101.50,100.00,100.50,-,1.5,100.50,"1,100",101.00,"1,303",14.30,2013-09-04
142496,142496,286,2330,台積電,"35,890,329","6,991","3,625,656,509",100.50,101.50,100.00,101.50,+,1.0,101.00,"3,065",101.50,"2,363",14.44,2013-09-05
143367,143367,286,2330,台積電,"25,342,215","6,824","2,577,284,287",102.00,102.00,101.00,102.00,+,0.5,101.50,572,102.00,"3,471",14.51,2013-09-06
144238,144238,286,2330,台積電,"33,083,237","9,300","3,384,738,473",102.50,103.00,101.00,103.00,+,1.0,102.50,1,103.00,"2,603",14.65,2013-09-09
145109,145109,286,2330,台積電,"37,392,161","10,178","3,877,481,244",103.00,104.50,102.50,104.50,+,1.5,104.00,284,104.50,"3,276",14.86,2013-09-10
145980,145980,286,2330,台積電,"41,349,427","8,961","4,301,437,408",103.00,104.50,102.50,104.50, ,0.0,104.00,"1,826",104.50,"3,223",14.86,2013-09-11
